0,1,2,3,4,5,6
tbl_94229,0,0,8,0,0,0
tbl_79596,0,0,7,0,0,0
tbl_70821,0,0,26,0,0,0
tbl_94412,0,0,16,0,0,0
tbl_198166,0,0,26,0,0,5
tbl_79574,0,0,14,0,0,0
tbl_70842,7,0,7,0,0,0
tbl_93401,0,0,16,0,0,0
tbl_71023,0,0,7,0,0,0
tbl_329574,0,0,8,0,0,0
tbl_330095,1,0,0,0,0,0
tbl_44874,0,0,0,0,0,72
tbl_92705,0,0,47,0,0,0
tbl_71000,0,0,28,0,0,5
tbl_44742,0,0,0,36,0,36
tbl_195520,0,7,28,0,0,0
tbl_209600,0,7,28,0,0,0
tbl_72280,0,7,28,0,0,0
tbl_72181,0,7,28,0,0,0
tbl_72092,0,7,28,0,0,0
tbl_209629,0,7,28,0,0,0
tbl_72427,0,0,28,0,0,0
tbl_72276,0,7,28,0,0,0
tbl_92274,0,7,21,0,0,0
tbl_209621,0,7,28,0,0,0
tbl_92273,7,120,28,0,0,0
tbl_71578,0,0,28,0,0,0
tbl_195518,14,14,49,0,0,0
tbl_209599,14,14,49,0,0,0
tbl_72182,14,14,102,0,0,0
tbl_92206,0,14,21,0,0,0
tbl_72093,14,14,48,0,0,0
tbl_72178,0,14,21,0,0,0
tbl_72179,7,7,21,0,0,0
tbl_72277,14,14,48,0,0,0
tbl_75347,0,0,28,0,0,0
tbl_209622,14,14,49,0,0,0
tbl_92207,7,137,21,0,0,0
tbl_69938,0,0,28,0,0,0
tbl_202591,0,7,28,0,0,0
tbl_72203,0,7,28,0,0,0
tbl_92325,0,0,14,0,0,0
tbl_75971,0,0,28,0,0,0
tbl_76051,0,0,28,0,0,0
tbl_206856,0,7,28,0,0,0
tbl_202684,0,7,28,0,0,0
tbl_187895,0,0,2,0,0,0
tbl_209630,14,14,49,0,0,0
tbl_72281,14,14,48,0,0,0
tbl_195556,0,7,28,0,0,0
tbl_202647,0,7,28,0,0,0
tbl_95024,0,7,28,0,0,0
tbl_198216,0,0,28,0,0,0
tbl_197740,0,0,28,0,0,0
tbl_351761,0,0,70,0,0,0
tbl_72448,0,0,7,0,0,0
tbl_71601,0,0,7,0,0,0
tbl_111332,0,14,21,0,0,0
tbl_111333,7,15,21,0,0,0
tbl_92177,0,7,21,0,0,0
tbl_92176,7,137,28,0,0,0
tbl_92381,0,7,21,0,0,0
tbl_92380,7,137,28,0,0,0
tbl_92357,0,14,21,0,0,0
tbl_92356,7,7,21,0,0,0
